renglon,año,entidad,cve_geo,cre_nat,cre_soc,cre_tot,def,edad_med,emi_est,emi_int,evh,evm,ev,hom_mit_año,ind_env,inm_est,inm_int,mig_net_est,mig_net_int,muj_mit_año,nac,pob_mit_año,muj_12_14,muj_15_29,muj_15_49,muj_18_24,muj_3_5,muj_30_64,muj_6_11,muj_65_mas,hom_12_14,hom_15_29,hom_15_49,hom_18_24,hom_3_5,hom_30_64,hom_6_11,hom_65_mas,pob_12_14,pob_15_29,pob_15_49,pob_18_24,pob_3_5,pob_30_64,pob_6_11,pob_65_mas,raz_dep_adu,raz_dep_inf,raz_dep,t_bru_mor,t_bru_nat,t_cre_nat,t_cre_soc,t_cre_tot,t_emi_est,t_inm_est,t_mig_net_est,t_mig_net_int,tmih,tmim,tmi,tef_ado,tgf,fecha_reg
1,1950.0,República Mexicana,0.0,771494.0,-28552,742942,488080.0,17.11,ND,31089,45.91,48.76,47.34,13495744.0,6.72,ND,2537,ND,-28552,13530829.0,1259574.0,27026573.0,913612.0,3463334.0,6198487.0,1664854.0,1265903.0,3803433.0,2123318.0,427476.0,932414.0,3508333.0,6187357.0,1688145.0,1293140.0,3661134.0,2170111.0,365423.0,1846026.0,6971667.0,12385844.0,3352999.0,2559043.0,7464567.0,4293429.0,792899.0,5.49,81.72,87.21,18.06,46.61,2.85,-0.11,2.75,ND,ND,0,-0.11,138.63,120.64,129.85,149.49,6.57,2020-05-23
2,1951.0,República Mexicana,0.0,797550.0,-33378,764172,511172.0,17.0,ND,37034,45.53,48.25,46.9,13871508.0,6.8,ND,3656,ND,-33378,13908627.0,1308722.0,27780135.0,938932.0,3555366.0,6337070.0,1710721.0,1309697.0,3887150.0,2187898.0,445730.0,958064.0,3598248.0,6324147.0,1732318.0,1337880.0,3742914.0,2236078.0,381433.0,1896996.0,7153614.0,12661217.0,3443039.0,2647577.0,7630064.0,4423976.0,827163.0,5.6,82.32,87.91,18.4,47.11,2.87,-0.12,2.75,ND,ND,0,-0.12,139.83,121.47,130.87,152.02,6.66,2020-11-11
3,1952.0,República Mexicana,0.0,867222.0,-34371,832851,487182.0,17.0,ND,42009,47.52,50.43,48.98,14270386.0,6.85,ND,7638,ND,-34371,14308255.0,1354404.0,28578641.0,966306.0,3649012.0,6480135.0,1755915.0,1356911.0,3974952.0,2255859.0,464211.0,985879.0,3689848.0,6465975.0,1775435.0,1386094.0,3829259.0,2305617.0,397636.0,1952185.0,7338860.0,12946110.0,3531350.0,2743005.0,7804211.0,4561476.0,861847.0,5.69,83.03,88.72,17.05,47.39,3.03,-0.12,2.91,ND,ND,0,-0.12,130.46,113.15,122.02,153.13,6.72,2021-10-24
4,1953.0,República Mexicana,0.0,882943.0,-35106,847837,518724.0,17.0,ND,45825,46.88,49.87,48.36,14690278.0,6.91,ND,10719,ND,-35106,14728717.0,1401667.0,29418995.0,995553.0,3745691.0,6630085.0,1800920.0,1405168.0,4067546.0,2328445.0,483397.0,1015205.0,3783388.0,6613993.0,1817545.0,1435335.0,3921535.0,2379180.0,415185.0,2010758.0,7529079.0,13244078.0,3618465.0,2840503.0,7989081.0,4707625.0,898582.0,5.79,83.79,89.58,17.63,47.64,3.0,-0.12,2.88,ND,ND,0,-0.12,136.19,117.92,127.28,154.67,6.78,2021-02-16
5,1954.0,República Mexicana,0.0,974839.0,-36906,937933,462766.0,17.0,ND,49770,50.51,53.48,52.0,15137087.0,6.97,ND,12864,ND,-36906,15174790.0,1437605.0,30311877.0,1025374.0,3846467.0,6788865.0,1846279.0,1456265.0,4166394.0,2407526.0,504012.0,1045153.0,3881069.0,6771376.0,1859957.0,1488031.0,4020584.0,2459436.0,433984.0,2070527.0,7727536.0,13560241.0,3706236.0,2944296.0,8186978.0,4866962.0,937996.0,5.89,84.57,90.47,15.27,47.43,3.22,-0.12,3.09,ND,ND,0,-0.12,119.73,103.49,111.81,154.93,6.77,2018-07-24
6,1955.0,República Mexicana,0.0,1021567.0,-37973,983594,463432.0,17.0,ND,53644,51.32,54.09,52.71,15619305.0,7.0,ND,15671,ND,-37973,15653331.0,1484999.0,31272636.0,1055858.0,3953019.0,6958346.0,1892544.0,1514533.0,4271174.0,2494435.0,524647.0,1076253.0,3985591.0,6940948.0,1903915.0,1548989.0,4125453.0,2548376.0,452293.0,2132111.0,7938610.0,13899294.0,3796459.0,3063522.0,8396627.0,5042811.0,976940.0,5.98,85.46,91.44,14.82,47.49,3.27,-0.12,3.15,ND,ND,0,-0.12,114.46,98.76,106.8,155.93,6.81,2017-09-07
7,1956.0,República Mexicana,0.0,1075718.0,-41621,1034097,459817.0,16.95,ND,57693,52.21,55.14,53.68,16125998.0,7.01,ND,16072,ND,-41621,16155480.0,1535535.0,32281478.0,1088042.0,4063933.0,7135618.0,1940343.0,1580562.0,4379508.0,2585586.0,545290.0,1109151.0,4094232.0,7118230.0,1949556.0,1617503.0,4234175.0,2641752.0,470702.0,2197193.0,8158165.0,14253848.0,3889899.0,3198065.0,8613683.0,5227338.0,1015992.0,6.06,86.42,92.47,14.24,47.57,3.33,-0.13,3.2,ND,ND,0,-0.13,109.95,94.7,102.51,156.79,6.85,2022-12-03
8,1957.0,República Mexicana,0.0,1123464.0,-46239,1077225,465254.0,16.68,ND,61753,52.72,55.48,54.11,16656412.0,7.01,ND,15514,ND,-46239,16680736.0,1588718.0,33337148.0,1123204.0,4177250.0,7319459.0,1990809.0,1652241.0,4491733.0,2682535.0,565930.0,1145152.0,4205015.0,7301825.0,1998116.0,1691380.0,4346917.0,2741567.0,489206.0,2268356.0,8382265.0,14621284.0,3988925.0,3343621.0,8838650.0,5424102.0,1055136.0,6.13,87.46,93.59,13.96,47.66,3.37,-0.14,3.23,ND,ND,0,-0.14,106.32,91.41,99.04,157.2,6.9,2017-04-16
9,1958.0,República Mexicana,0.0,1179375.0,-51678,1127697,463627.0,16.39,ND,65685,53.56,56.39,54.98,17210686.0,6.99,ND,14007,ND,-51678,17228918.0,1643002.0,34439604.0,1161592.0,4293174.0,7510055.0,2044646.0,1725540.0,4607474.0,2788843.0,586952.0,1184495.0,4318378.0,7492180.0,2050439.0,1767175.0,4463441.0,2851501.0,508197.0,2346087.0,8611552.0,15002235.0,4095085.0,3492715.0,9070915.0,5640344.0,1095149.0,6.19,88.57,94.77,13.46,47.71,3.42,-0.15,3.27,ND,ND,0,-0.15,103.51,88.84,96.35,156.97,6.94,2020-10-19
10,1959.0,República Mexicana,0.0,1233232.0,-57680,1175552,463238.0,16.1,ND,69155,54.35,57.19,55.77,17789665.0,6.99,ND,11475,ND,-57680,17801564.0,1696470.0,35591229.0,1202723.0,4413502.0,7709721.0,2102008.0,1800543.0,4727251.0,2904167.0,609519.0,1226647.0,4436290.0,7691626.0,2106686.0,1845208.0,4583998.0,2970426.0,528512.0,2429370.0,8849792.0,15401347.0,4208694.0,3645751.0,9311249.0,5874593.0,1138031.0,6.27,89.71,95.98,13.02,47.67,3.46,-0.16,3.3,ND,ND,0,-0.16,101.16,86.67,94.09,156.6,6.97,2019-04-15
